figurative_type,uuid,phrase,category
metaphor,66959016951603951343244880338398973591691853005892585505017549050127694364999,jungle city,Partial Literal
idiom,18967552879128492598628782271413805336542479597535440557849734506368997781730,second childhood,No Category
idiom,7692846513724177874085068488950230622571097280450106148856192611006841092006,anything goes,None
idiom,113264937494938919458779428422337728956952545131203413091446413631603001245498,use a sledgehammer to crack a nut,Figurative
idiom,74081550309457277909634918317187998871476936585102929642653609965138044710960,par for the course,None
simile,113071958268955868208439651482614133625707232679803174616585969077589235957326,as fresh as a daisy,Figurative
idiom,70027048087919598772746017873730905274543112176399692037071534656974401387153,in the hole,Figurative
idiom,16642283424692455036121166762524474539892560970109860949331798379175942657571,rhyme or reason,None
idiom,103742155268624424152801065737787045529404955045734381478099040553323809520800,rhyme or reason,None
simile,18493103297524712621471760808348829693885914822452904398602430490631687334345,as helpless as a baby,Figurative
simile,95531017548415836535037907986307018039105996367030396537271122740728576875465,as fast as a cheetah,Figurative
idiom,38449029004797972264278004950406746125796377317412790335958687563584176169243,bounce off the walls,None
metaphor,48579655843436811964321915243844262226590087995990308675295762620091436765332,she was a busy bee,Partial Literal
simile,98524051590600902638877429805050704033923309324075775487038072272482652297932,as slow as a snail,Figurative
idiom,87258700559819683145890068822554742815905389084870769331459924257814610557988,at sixes and sevens,None
idiom,111526451024501055521672109444061122033826869664140140335600434921496339251937,it takes two to tango,Figurative
idiom,59038445250131190663504424511003553035149307700084191312599529220239897596495,keep a lid on,Partial Literal
simile,101681440730672321993186662895783989973148009416700442451680145361932308671542,as fast as a cheetah,Partial Literal
idiom,40313479187716086296765003267650479360315934239245803627810620130575734831439,split hairs,Literal
metaphor,67186791029331298959392960957519966493557595989237229231972996832096587002761,jungle city,Partial Literal
idiom,95858489407611457653679616817804994992880403299540250631538075186727583730545,make a clean break,None
idiom,61762385247536191348725165102453410073619939985690212278378568641965131580787,shrinking violet,Figurative
simile,61928354997052163244440209644376030637735786542032649023361806239917045224343,as strong as an ox,Partial Literal
idiom,98765642474305327844262162529653999348149427730706343095582319540636754725867,within living memory,None
idiom,17646542326801802279568782601458491566930086404327727276516275496248515205511,take the cake,Partial Literal
simile,78759766661753068545040798935406379790983300663495335543179683733357347183895,as slow as a turtle,Partial Literal
simile,30998317726311400300541343054764288749083041825165801779811070707626451411845,as blue as the ocean,Figurative
idiom,55032625043935942592462536986392192983599218968557939671606679082974246238718,full marks,Figurative+Literal
idiom,47201442670287583409616728566230054979453219205041731480708702600356378241785,turn tail,None
idiom,53085022928662214643927523597167693524773410199485550904101010363415889212618,seeing is believing,None
simile,774289721102924403865219680042878671816442976825161274537965694936040601583,as big as a mountain,Partial Literal
metaphor,30842081088014896425655666553687978850684874623651593646948097215606890020764,heart of a lion,Partial Literal
simile,3563345795460259092412578701514890837496536303912731269138116674201917700941,as sharp as an arrow,Figurative
idiom,16427563519174887246816963642320843485014088308354142800721311998317717995653,bite someone's head off,Figurative+Literal
idiom,36720473581569019423683370053530472331565183194926766504448379312232899820016,under fire,Figurative
idiom,82712907088125393120513734867516298755289400785709629599609704385283163254259,cut a rug,Figurative
simile,29150821303802954761011728771594427088545853293017995391833030151086111534362,as blue as the ocean,Figurative
simile,12456007456897460341647820293482581720760566264759396676328573990814717173861,as fast as a cheetah,Figurative
idiom,24171487673813137369801526588985058960938346912546778075725153911706997030674,up in the air,None
simile,102548847362509190333861738645003598761744006100121831759393536781583744556513,as busy as a bee,Partial Literal
idiom,64844684400281586843297827493743268785084906085602290620867299251638551944444,round the bend,Literal
idiom,102449203307994803192372209077705829658728759186538827926633043159672374021868,blood is thicker than water,Partial Literal
idiom,44741535185115992584046867827747345916652064733919262415581138432611647187530,water under the bridge,Figurative
simile,56228877408543960159113165480349967814872961261248807845081338095529514941365,as fresh as a daisy,Figurative
idiom,6283688132933834744137081804225232785593907691198062179143056518605624523646,place in the sun,No Category
idiom,93247005144713550982805246279176132413327667933865089055119090726272429080967,when the chips are down,Figurative
metaphor,18696462093247344690978442691849909289290426056667394576794360775686591454494,eyes were fireflies,Partial Literal
idiom,106429259689617279076250146393143981159767951412439941833002826646225990584433,go to seed,Figurative
idiom,54984062199088380555798081941755956556891941372242490581307259309159432138233,under the wire,Figurative
simile,1765981696000059257440070397798222324706268001804255861283904215145721914527,as blue as the ocean,Partial Literal
idiom,22947813930892054900135210066540199634378600911519637353882011280264630904428,get a move on,None
metaphor,13323874610356813101596089080741943670937256002077415985013401091735043873427,their relationship is a house on fire,Partial Literal
idiom,85425234772179352536275176905967083386785563570741102520510061593266522964154,no strings attached,None
idiom,62116672564857937852446687611430294718683418186016116060533979789245861970493,shut the door on,Literal
idiom,60272006684765762339454152839772828055687952653715935055142175738576847543284,split the difference,Figurative
idiom,35747145903017752871420440592739420437064977645937656071396898589056542850053,bang for the buck,No Category
idiom,46013348082248977573247987624354992875892230523710514704446973314639502134220,set eyes on,Figurative+Literal
idiom,36550349567084209602691851550954656163235693812556726930964882157981010138761,come rain or shine,Figurative
idiom,109880138983655468647566602329239302705914042563363933767966539843460571106315,come with the territory,None
idiom,41645012634195471758804676225858450177792026838911485241555830917473539420129,have a tiger by the tail,Figurative
simile,80062692585961579214602668606256041490307943100393029896575121683288036053226,as bright as the sun,Figurative
idiom,59034370840944004475401683947245293848837820231922775589164932993974568872168,change your tune,None
metaphor,4974814749368284644297944211429562058414532687140334254938605740489079872785,he is a fox,Partial Literal
idiom,60680604025130854638700053450467751340170980216045399230344928128993845340033,rake over old coals,None
simile,2278400694915490397952107103058763332751022299501611352300427652440089136972,as slow as a snail,Figurative
idiom,8972049034050796197407114323887321246389806489918467918467293932510652239156,fall off the back of a lorry,None
idiom,95666069177599577476067752655852584558241317184440937053281296800587961950040,play for keeps,Figurative+Literal
simile,113375056747867518677271785831229275606924142146241751900680118868106372267800,as thin as a stick,Partial Literal
idiom,30659976115130964607061606285190821382326226710165996613329742768353585928365,go ballistic,None
metaphor,79231713196157274655650639964672541151633320137772116463096569907639047427837,she was a sly cat,Partial Literal
simile,54526262973421463272453614843811949521937259304838262873637222586659914105681,as thin as a rail,Figurative
metaphor,55967180478295987486763826390524482414039296882355146579760210274012176312548,homework is a breeze,Partial Literal
idiom,77158911392995563414982252754885503589015566011070850330793156122688901308299,in the same breath,Figurative
simile,26672175333854780095798044922267085488932186414165546248316014434954736087103,as blue as the ocean,Partial Literal
simile,93339627906383746739732733304016955242414273970743449343505700600929263164296,as red as a tomato,Figurative
idiom,111184301058820633874803523826014577103996949829972960673909837236192229326561,keep tabs on,Figurative
idiom,83368962804321192567609562475588042644433282609293831496834656906778366471839,have a tiger by the tail,None
idiom,60694866425722079297224565860216202133723762941132502351655259822849581053282,rub someone the wrong way,Figurative+Literal
idiom,69544356791727495678594910786441376820500500101371081042340824172375199182896,ride roughshod over,Figurative
idiom,114550524791158701458359730207264867473089943806932837765507314443475492497439,foam at the mouth,Figurative+Literal
simile,527333068436800729356745279026853757982903556975541296318744760912567521,as filthy as a pigsty,Partial Literal
idiom,95037268063682971090065317315496663579633521978910869776218687526112055246653,throw a curve,Figurative
idiom,43150932585759395020284838997352535338463329609573114547330062553912424586790,save someone's skin,Figurative+Literal
idiom,61967970827205753223124628505739797162615260497649170141604597922543150536529,fight fire with fire,Figurative+Literal
idiom,97387455517939338288643028450302722218666505102281859823133568807366181888734,not just a pretty face,None
idiom,82067884854788259433697144439430527627305314058586007704541091200446597478728,under lock and key,Figurative
simile,23043011812760462789244672429042000583819752770029587740795604889670740603123,as bright as the sun,Partial Literal
idiom,68496573374486577898240889798347617444313443207481442761770420684417231769236,kick the bucket,Figurative
idiom,29153276423539041904036205044951092173210472276039272734686608729654807905248,not just a pretty face,None
idiom,109353887766425801383403990781997453017128794943170425995622982991711778635959,pound the pavement,Figurative+Literal
idiom,7446981761104789876215010760404801238776399908077641493270002821293130158950,hard as nails,Figurative
simile,66881223015779678624945426382594518076691776417963186433611929614400655823872,as big as a mountain,Partial Literal
idiom,4765775095158660284756534408548628703749533983133167068689549040956733072848,under lock and key,None
idiom,68181063167390789326680198654518770367919819247367617945462336851967312739397,come up roses,No Category
simile,22069981937074690592043155339869674626432458205752568405784258421076352524629,as filthy as a pigsty,Partial Literal
metaphor,74233766634028593435305518284635689425486540844995841586790647069618241676021,blanket of flowers,Partial Literal
idiom,56239276867869647654561785547346918442062218395118246668088856497651658151080,hard as nails,Figurative
simile,36607609270447809470298363941589380564979565548304909762782790867175756683475,as sharp as a razor,Figurative
idiom,39962432158003509674355510775483422552663757109860594787667867907793857746194,stand the test of time,None
idiom,112386613095358960801897062041038799938558490029909286728832941223044828304710,on thin ice,Figurative
idiom,105388055531475194363551431892603477180322029882552173872803006820695964539583,on the money,Figurative
idiom,12764496493826603896669870550561881561917435474229153064520213159234530261893,up to par,None
idiom,107306274879482439036094182488219160148901201720108230645429330217829907452004,with open arms,Figurative+Literal
simile,23619397752017884249674328525664214517922498388015642557733882295844734215735,as fresh as a daisy,Figurative
idiom,28513198053646780817338139695846154592932744000080316490503848245304520880111,throw a wobbly,Figurative
idiom,79697505891713656112153559165706845330736666609380938364931197419415027924276,see red,Figurative
idiom,105629083994259965116764240971450268142026860687420728108034545082671631807315,put the moves on,Figurative
idiom,42897708388112636364776893484518421020548331716717851415573895490484781698673,by no stretch of the imagination,None
idiom,51417833706600507185925100168646551443567660685895985208012585125242765869852,whoop it up,None
idiom,67602842158219618132054326931601799199113008171473833626705989543249541562066,fall between two stools,No Category
idiom,44547868865292322871195368853992600637008746007105818221472602210091575768284,for my money,None
idiom,69710350029125548378940053966451724471827564883900587356731400525781768977941,nothing to write home about,None
idiom,19055879812866041385096048439731530794747583046264125321506277783899585408237,get the nod,None
simile,42759810693670815865973222365791129709654302162637264236646378704857187602667,as solid as a rock,Partial Literal
idiom,80723509667374404974140836897290834375784997407607845947578081346551692147220,queer someone's pitch,None
idiom,13815859840395510139022649121488370314491225025136687147304416245011262032422,banana republic,None
simile,45413963934586903496673208695589960270939289125908600605828813873947293480396,as sour as vinegar,Partial Literal
idiom,77159903784970735609933409629664816871727438817487531682003976648507282718658,high and dry,Figurative
metaphor,91656703821037976499082926395036037427072456588230832271195640351824006386162,he was a chicken,Figurative
idiom,10181642268328383762794773542850666290128876908103482468587423979245241214889,with a will,Figurative
idiom,42622770363298326282920712830174001302494250130592874174699286668590453846810,drag your feet,None
simile,114701549516923447008736154502032901246915718958064785275156842803457966926029,as deep as the ocean,Partial Literal
idiom,4058608825583947788578008855265920709636944731871764414936648642076866228519,kick up your heels,Figurative+Literal
idiom,77326363525790432747922908608604224989482467613518848728077347928779520696105,up against it,None
idiom,107520204223258925040094482980712946826618038207923619292091881919190946589580,behind someone's back,Figurative+Literal
idiom,49653144523480146552648404083894384735042665236584094089967050782574727222474,cost the earth,Partial Literal
idiom,101096939819574170898643936917277818204155405530544385800342847922292379661578,pay through the nose,Figurative
idiom,57281982026591978187549561719647825078071958685644833204779288889371179608456,cry foul,Figurative+Literal
metaphor,11669980760455541488407869755176221186191100972632767851558142872797803123185,he was a tiger,Partial Literal
simile,99592411640648736596855465289266532318630683707258214292361826740270445209331,as red as a tomato,Partial Literal
simile,77631714022098115554151486056470973291370595465277352173092774855047698310674,as slow as a snail,Partial Literal
idiom,47551996843586310385215403777191165097420416476200219047280721869146627611239,break the ice,None
idiom,46528566870866859636312267782410344854774593724954847671187249476688264225160,kick the bucket,None
idiom,13101958311860746835211622004208114993079554474536453969142997349369600809397,keep your head,Figurative+Literal
idiom,105839130914295710380002968310335188819812837730114695986307348360898837918706,in the same breath,None
idiom,87104263107049886267082419103455084316442521520035692537595571032578731556637,turn the corner,None
simile,62597398155080427005547361112119320882689994006345358342419025323112911406976,as dry as a desert,Figurative
idiom,16876039207475036217692157474255223877949335282376441375635617500164250262354,take to the hills,Figurative
idiom,56375755216441454646651225141363220342133052357779651347608644186514166564064,in two shakes,Figurative
simile,4261745518302891707843981530199399441565064328692015879298448411284358177400,as sour as vinegar,Figurative
idiom,36676236929042858390877085817830131045656351559619538369765254678647723222789,throw a curve,None
idiom,101147599576535259054903593926527482492473548636036901061151739715343716887510,take the count,None
idiom,109834902453320380081610762576796912595331297225645932213837797752466791905954,run someone ragged,None
idiom,61656364416014297751802080056678046829465772514325117882470210486276296064688,go bananas,Figurative
idiom,36998744281719291277790616587386749702965809070580360689387364547410457765391,throw a curve,None
idiom,98561949238647929862229558303195235639963731152904352974308779839245560535180,touch wood,None
simile,30756342106103353330633653089853420560397355833530044491146944670172279214916,as big as a mountain,Partial Literal
metaphor,70860022884621139626323620149273466871360803352681491044550691176757861712772,their relationship is a house on fire,Partial Literal
metaphor,35348945373344638242637872245079188692274640113209086313677996888051572572393,blanket of bullets,Partial Literal
idiom,19414619942019580461026960763389765631190641363911235387049061206555765262997,go the distance,None
idiom,16598081007572953457809992745158395704922713199036822164259717598846370539481,cut a rug,Literal
idiom,62949535659944698749498545919848527221890512896438553093608144070847623233534,let the cat out of the bag,None
idiom,65771501208923750696209443983671642063778102285009122337330591743885557105314,fall by the wayside,Figurative
idiom,59055074790306092842513224100940286441704955927749437724967746625648486560784,save someone's skin,Partial Literal
metaphor,15916742277363413061427230573858480191677931335205510263348137688612935176299,jungle city,Partial Literal
idiom,88462933875077752984861041758574184734980828395144536492206876632563537977594,tread water,Figurative+Literal
idiom,1808049539019401396940067743167645891025837129021845949291412464434790053510,save the day,None
metaphor,14653225803614156612773276604490396767665147196038493394846772276366767477207,the car is a rocket,Figurative
metaphor,26630692632383987294329808469758209936018264144889910177907128714071110879140,she was a busy bee,Figurative
idiom,84822661187360222112053369757621659109319923978579976407351791961032144114270,for a song,None
idiom,75040000024733749847087090874844367046585385454039674259945140935320512677376,change your tune,None
idiom,54513167527039166839705426037718093989472702671254177943696818413145887915664,hack it,Figurative
simile,20089999532220555067664276077844460393932213804489256210177140581011317028994,as fresh as a daisy,Figurative
idiom,92783082695823866355412227801109609437163167172657947516657679758750488258035,up the river,Figurative
idiom,48767556749936226105622617289804295378753397562658714270897256086856517706603,cross swords,Literal
idiom,36429935759169392724329655373340336203257252990039494801053034700185260095471,rise and shine,None
metaphor,40724919995979562853035558196076840788409106674843504884182388439597690470562,wheels of justice,Figurative
simile,79025974670656431400774061888564326111306316369830592976438548106016100897053,as proud as a peacock,Figurative
idiom,102472664286009159435577580668551901117872283779812150800321168103553673606008,foam at the mouth,None
metaphor,105526196066763723707129993580179828649630264131417546228771844201880218257889,an angel,None
idiom,71039186334941340674506839494142349334537671003078649768469748477810401538729,on the horn,Figurative
idiom,97578948724818577844780522716778800957399056455330826891523366744055199090167,bounce off the walls,No Category
idiom,2846124549777394930779041231770257459687550204956351712110641129612039088698,bang for the buck,None
idiom,76011666252930202634409430874263683878449228118649212632805287069531204508777,take a dive,No Category
simile,99578916741905252587852210596292205078582813233540083643734682709016167486366,as fresh as a daisy,Partial Literal
idiom,4160966462222943046648643150795408384010104156065681162015369622786683205917,lead someone up the garden path,Partial Literal
idiom,13573449277224112460262256023221425142800843762466835079800405693173075469152,out of line,None
idiom,106493257609706603328434245946692359869125541614540614123652221020867200754414,make a monkey of someone,Partial Literal
simile,97989914386777064632075351514805499659784630063640182365258918038768349684187,as busy as a bee,Partial Literal
idiom,10742858325917008685999000792576990110859888750092986143604143862799793180665,close to home,None
idiom,96724313707372467102479817104844453575170690623434089224776453487495350096874,catch the sun,Figurative
metaphor,71731577930361008174159623965973367995860463489747284885225852896298484277017,a shinning star,None
idiom,85561938803950783791028630026269025159726996161399371060051112516784644066990,come unstuck,Figurative
idiom,23119294989186883498258623870288667589242154745875687877134966366545282512128,free rein,Figurative
idiom,91818508616388728357541364637264219863678560534811929320427850463776558416001,make ends meet,Literal
idiom,62402181471477611425685859824655998959639387030280010940778986865435780623643,rattle someone's cage,None
simile,79398107438611998601516401624311674108434346680481265582513242401686943793142,as proud as a peacock,Figurative
simile,24801106055647397080060815232037197805669785820778595655012341893730830250509,as sharp as a knife,Partial Literal
idiom,2917724552702499202012941903641271474699417671650067217217292736253747270197,high and mighty,Figurative
simile,26267931075571402104628756227357049886402105601264310664854040390924074069114,as hot as lava,Figurative
idiom,93467339525350265025344562854963851384382180868044381753472890731826800465967,drop the ball,Literal
idiom,8875425349025658913604086285890577803922993671621831942254990408906562049166,think outside the box,None
metaphor,14367047790077004117900443500973799673853763222020565426105275308501301243329,heart of a lion,None
idiom,3286988813810613262271781469843825428104989187873139826449236773442468360498,odds and ends,Figurative
idiom,21990052577216746113459373483731859390871647501636288910142352287636605225281,up to no good,Figurative
idiom,111503032052145430200973398870802586332686156832102002999897251887845194374321,tell tales,None
simile,114415818163342479728252077125822548645143390651937195022129675376737470837247,as deep as the ocean,Partial Literal
simile,61339307288640633629698279951001160529532964836185013217187251140089275643494,as sour as vinegar,Figurative
simile,62833371531732335384315471131530776800988636672647375615129314754557983313338,as deep as the ocean,Partial Literal
metaphor,70446032795227170356792818082897792004380725808759269779366312295276326673689,a shinning star,Partial Literal
metaphor,50547069405759492891729008060525437078628830007799100404873830554032705877157,sea of umbrellas,Figurative
idiom,112261295080351993122293532353564485164979899764379288390182965518911780997482,see red,Figurative+Literal
metaphor,29051756781472190284388131907002572692812510296124349794286665723733458622668,sea of umbrellas,Partial Literal
simile,3419467851712117998722006230830246109931500004465012677885984050177364796510,as strong as an ox,Partial Literal
idiom,101626909441162523902104872270198871446740146949129913562489832674931635404248,buy the farm,Figurative+Literal
idiom,69368594926973940108851967841316248040990862477071960065388707848788882494183,sign on the dotted line,None
idiom,67536291717831896014477662826997633886130674627901987781476570433212959090774,jack of all trades,Figurative
metaphor,48180228484344652451547493562612168887829186242744697696946617657207809575830,blanket of snow,Partial Literal
simile,42937834904709731299183008829073063771061343594434022859437008494294957117151,as dry as a desert,Partial Literal
simile,36346327767661729113020687882396771521117204036238567938329045426322379838541,as dry as a desert,Figurative
metaphor,48378769398197012176269089461906449168836193274105353215679112475995558703522,walking encyclopedia,Partial Literal
metaphor,27540885354306691277590356686667157884499253264798197015090420091624323838547,wheels of justice,Partial Literal
simile,74841566828968918468393392175815136917294902409347055197272250463358404838881,as deep as the ocean,Partial Literal
idiom,54286662146008062528469992006392239958307375137497566878182743168028713386107,green with envy,None
idiom,108349567572657366218573529242277350152716694752146023648717809057305927236327,hit someone for six,None
simile,88768701025608663357194519929511582547392622373212640179138024526541650036182,as dry as a desert,Figurative
idiom,73378695215828628738381039020766444008473693453673836187194898363546553722086,have the hots for,Figurative
idiom,5678238542802948905623706195649146704519630038592195945617388438334121854417,make ends meet,Figurative
idiom,16029160371977590621920401169357529009990637142621006493757705650697054834111,scratch the surface,Literal
simile,6499450902281964282921385015303626523784541037102594420157819047330585676908,as hard as a brick,Figurative
metaphor,22186675713281614554440124499530289853779096092373310585632083842763417770472,a shinning star,Partial Literal
metaphor,14294828063659773760667177565436250092978948533076783967673095204101899448232,he is a fox,Partial Literal
idiom,61424767780044295143983280418366324762083164385551417617763252072774030672623,off the hook,Figurative+Literal
idiom,100578753166377275621138153970545166396526821090496092558523674538847808543699,in the swim,No Category
idiom,26756600909270109152850450834909966268417538910032151434255744767762510858459,on the trot,Figurative
metaphor,77076123647952014652727085576950441675665173843347413935105430453853856448589,he is a cheetah,Partial Literal
idiom,88673851615209994741959481321208296104516954467676663457643844348640244781789,on board,None
simile,29953423172141181481455362104001572937854869938072158735188669074150960074753,as sharp as an arrow,Partial Literal
idiom,27213005012878784363398154055487819349314664313397794083111589734262048881412,cut loose,None
simile,109821526995571154476935696647841907158763908846340790608068612944468923203515,as fresh as a daisy,Partial Literal
idiom,57661237726675415620631523709113808489482405171676597972582610218349821071564,move heaven and earth,None
idiom,81173828884701983584780731700804452130910382610528767203961883629019173229283,with a will,Figurative
metaphor,40210758243610191885015729089302436090137538747063983476789118517387941529576,sea of bees,Partial Literal
simile,45251698094995413800993383699238206646764273721164032424613071398369220021837,as hard as a brick,Partial Literal
idiom,113407691151249683353832435028764942642678608819433292169605210865391322525791,seize the day,None
simile,32628281567624529242718819569439569977305574230496435302099432362926282859856,as tall as a mountain,Partial Literal
simile,55779465788898318506072798971987714919672564651271197313997103409924983926723,as helpless as a baby,Partial Literal
simile,27427013657281243484241442693589347009811546655131014846237303409199989198286,as proud as a peacock,Partial Literal
idiom,57650361968834591992130692020834201391317145368758431818660198953700497024546,night and day,Figurative
idiom,91881426669531899299876414562883974443929998013017693744507853300281262287373,touch wood,None
idiom,63717365233118746575237038707153982996558819014684454894219012964899572480051,tired and emotional,Figurative
idiom,113670152670327107638933577294354860602060921653857735682008229990854349581224,make a move,Figurative
simile,38873237829528266294056665028286645429813309691896903337702017519036099600630,as fresh as a daisy,Figurative
simile,10153334600608297134003617131304751689300774033658814419289449472883922954176,as deep as the ocean,Figurative
idiom,9041060252949928774413480058643834472313028603761462501414031724014256102589,and all that jazz,None
idiom,3219286219859079411985290441100983337615678936192618356521277737413218064882,hold your own,None
simile,83156934469518467819636921369431907510740035304546215656604594112029459128000,as busy as a bee,Partial Literal
metaphor,21763997075024494308731581317761787611257112883418244512295882120997043591770,she was a sly cat,Figurative
metaphor,5232002131095004394085676212006264234095490370884736659784562125589420777230,he was a chicken,Partial Literal
idiom,61223562929121907947743966755080011976325505173558160832776642232800328251221,split the difference,Figurative
metaphor,48648553377234098367663433318981446838277997626895281852427563365638235172824,their relationship is a house on fire,Partial Literal
idiom,104058925393371502818409035809485149595940401651452236091604482022031687124510,long in the tooth,Literal
metaphor,89959955618793869774407608097330056717616720432767526237702213183738641695976,a mighty lion,Partial Literal
idiom,112886366968094896455223349551261414439205209747105232904364292520234881807026,brass monkey,Literal
idiom,104317757151280452538920205618337145475381399730421235191560263289084853793382,off the wall,Figurative
idiom,110516976593425356207266840692040958668382221684751651687749644269030522508485,see the light,No Category
idiom,70913232414371011305909547100572939466528172950288517491045252205581873009239,see the elephant,No Category
metaphor,22645606857114080453531838581258216934290414193939516253490264539677450715979,she is a snake,Partial Literal
simile,107216374859071614925119245382190784489179969045481731299237254621738001932668,as sly as a fox,Partial Literal
idiom,29779540794380782824983694731379265161939347450654155174212590035563755033612,cold comfort,None
idiom,73118406354363720589242534307837244571180759221231856563181062684863364178234,hate someone's guts,None
idiom,51835183545069948911065950794543842246029192972011598179638289619015103675238,out of pocket,Figurative+Literal
idiom,87007475250720823303338383336730655653317531181667946500701053032219804339228,in someone's pocket,Literal
simile,49677560043394673441958356176954139473123647769633187889312832091650044707647,as fresh as a daisy,Figurative
idiom,48121511357433090887186126144703347601284298210875330932892113297677502343069,make ends meet,None
idiom,97102714401903673778233081225711358748436585451177348749974125846059836842668,par for the course,None
idiom,85709318642854607415858226044727010671882225526575229740376993455734581176035,night and day,Partial Literal
idiom,42249560667483274053964425049516756341885422916977623551633389165465438601158,hit the road,Figurative+Literal
idiom,15088573921214793870402395381538235074714593361819999038612003408881779341799,wet behind the ears,No Category
idiom,15368299126618645699154147210020040910973493443422745622352378111758934247320,away with the fairies,Figurative
simile,66045186378668358170319764636581079786145808968189763869699480665327148154436,as slow as a snail,Figurative
idiom,76475124884533753648113777370944275115077320442325109110145054967746073551196,bounce off the walls,Partial Literal
idiom,85152394932034427175205740073840109156304582062622923060580915046001150874574,come a cropper,Figurative
idiom,68773289459347324711618067262038608520253702696611411113146559119051025200891,get the boot,Figurative
metaphor,48555910834376260192828485122137616345276810704554559965376651964068575859865,he is a fox,Partial Literal
idiom,103210790794070660162693191554321727151174641725841626081344843572711042015575,kill the fatted calf,Figurative
idiom,68748035266084242516200245987100890495755222749877150139005134896676358668351,come to think of it,Figurative+Literal
idiom,33125838182318559516671319049869510714883362372161818108642306968294547373842,out of this world,None
idiom,70779594997962559240796539463760065078532102243756266446475787097492851266322,hold the ring,Literal
metaphor,1449179304419101242365574356623624414168632003493781599709689619578193643031,heart of gold,Partial Literal
idiom,115747193390783289763282702083198827152765968940459339932130422311363980579012,have a heart,Partial Literal
metaphor,56440338436133309908888562508694489005270035535297686409287944957580142895271,home was prison,None
idiom,53354003642880943254346973476511660110916753407775576149183150943977446300919,take the gilt off the gingerbread,Partial Literal
idiom,89870281897376010277395994230670641091912900740706570301203504065816623118959,with open arms,Figurative+Literal
simile,67963463904361892132593003672912846934198189549648920736795185091583022434526,as sweet as sugar,Figurative
idiom,31910051308788929524336959130148998996510172498598986150565633585404566517172,pay through the nose,Figurative
idiom,13125870687005128542749596664360814222227879008458660648084938817808804688877,bell the cat,Figurative
idiom,113100455531633092626403273870364516559559630342156241296232826168092149273224,jockey for position,Figurative+Literal
simile,80653198354146701964285798930366380604392710767165149193975181786752196963540,as dry as a desert,Partial Literal
idiom,81427355975417406052771043240657150154926108553355283724761033915142403198328,shoot the messenger,Figurative
idiom,74623225323209427188696813674377108317949814983475273883018756615753466686394,sell like hot cakes,Partial Literal
simile,41392549038453166941014351784251065066000997375696913107580402774473617106620,as proud as a peacock,Partial Literal
idiom,27224679269457212566827828442443737080938945106454779593502842508429470991573,kiss of life,Figurative+Literal
simile,75844845776021517892293705393827339431933615736971309478130005839212181705629,as proud as a peacock,Figurative
metaphor,112645436030311509043913016447703380803473696998948160345242978502876676892950,walking encyclopedia,Figurative
idiom,102764745319311009222950422697058872606399343345224313118298880296625267855207,burn rubber,Figurative+Literal
idiom,98671267585658945968853633556883695039303882393296005479114047189816492851963,roll with the punches,Figurative
idiom,50497330533680553367003542805852123709677420911988997267973720865874591323250,put down roots,Figurative+Literal
idiom,102785691205507590764662198788268656913468580468147310452161176623701773607526,at the drop of a hat,Literal
metaphor,37354760527246492810722148837790299432451911467200129643878100613845978018695,home was prison,Partial Literal
