uuid,phrase,category
40093138710164279626050668091974957377445007687676962671208550691606610958079,from stem to stern,Figurative
31483489612109776940462826420400602558974734946130748703609214944634244209327,throw a wobbly,Figurative
20193316267043617824943799802787853063009190326447307260026504659076717547021,as hard as rocks,Not Figurative
21089024076046238586541460905867144894204117984787417986429220176639033079606,bite the big one,Figurative
110843146061650399310011103881135441834379337762715080901531617914358424193008,blanket of snow,Figurative
60244475367017077625554312002819925926590340417887999140751261965564791179653,on the trot,Not Figurative
98671267585658945968853633556883695039303882393296005479114047189816492851963,roll with the punches,Figurative
93463183449268090036560911423964326348247723964851936506604946140063474419700,let sleeping dogs lie,Figurative
56049856333054638860138637626091973663770843509774093016075267583690322023238,go bananas,Figurative
39098524745246676358877451116644810600278172946408684040262448796917299431335,as strong as an ox,Not Figurative
17424584524816444752873637446064626513725900206679596814474113731828320445956,eyes were fireflies,Not Figurative
107064885454862039595489297578445056395754615095422303603238159360177613166145,behind bars,Not Figurative
55967180478295987486763826390524482414039296882355146579760210274012176312548,homework is a breeze,Not Figurative
76300130833623455988571479851976123865843696815217440038672278288001505084060,as red as a tomato,Figurative
45568679102513949873818760877702762962462567283190686096012315322679593938924,as wide as the sea,Figurative
56803111806510231782402090209790243827164102403451792439072720721245232792708,as happy as a kid,Not Figurative
3419467851712117998722006230830246109931500004465012677885984050177364796510,as strong as an ox,Not Figurative
42584078643094287460383744867639725506882410404859302175007257042211583839217,make the grade,Figurative
53380678217581214932969821785014520474435157167960978117442200956261045566196,as thin as a stick,Not Figurative
27569137358827633933625828754034283248208296881100788243796966532594254185885,as pale as a ghost,Figurative
23120712283436712655466688304830857390812753567034000504382309478898272663652,pull the plug,Not Figurative
67817238928379905100045809295279296060970564174261826896714993127463845889258,bend someone's ear,Not Figurative
1062814611464646357461831797693529087285870578094906044392139907179135673099,as angry as a hornet,Not Figurative
48025035433350435329378522170550590713626540293699432330779371395470640256672,fall on deaf ears,Figurative
40589313975204094883236840833221071902299214077519183167306761734057891672982,blanket of flowers,Not Figurative
85795314665432747876793332999670111808013013165249281145107955358542998018856,as thin as a rail,Not Figurative
14294828063659773760667177565436250092978948533076783967673095204101899448232,he is a fox,Not Figurative
40465627989542281829157905497907663077083230363103187612651412502384981210898,show someone the door,Figurative
2469232132414321976736290923905670762429279002679467935142700887519076786458,as hard as a brick,Not Figurative
110179495296502717592294191899509043504061456522857115671578870884291708961641,one-horse race,Not Figurative
96513601428146548879915809708794498353805953083950107152956190180651243664837,on the ropes,Not Figurative
80565689871950976976204073067509889626602856538531660660895207862174253941869,she was a busy bee,Figurative
99435481277942058546294553964109465422985732510205480763746596252757365634200,as busy as a bee,Figurative
65196396675750913881970980627954788131571049925466845575151968153024111530672,as strong as an ox,Figurative
102342475266317605614580961797740203714136303032147690911310722061295997607242,sea of bees,Figurative
41367204579098876938747692887892533334321268099611020755339101774886871740905,as slippery as an ice rink,Not Figurative
88636790934260183145818292066431508656508565284782059337856937928163966787914,body blow,Figurative
73088015333104877723386953798972680445523378968327018038358623352089423396072,keep mum,Figurative
101394314872660166255173904432405766012614879083413494766573708669024390530959,as red as a tomato,Figurative
298024027876691097541135482993939839688935136573311873345092486009352896411,as sly as a fox,Not Figurative
80229900282844392559942027355705573527342803449388424783868162707362672226587,in your face,Not Figurative
52933346527486218115111764374764482811124840311732397258708209872238890233992,pull the plug,Not Figurative
43673755304655109369551120677784053657838934679494247336133487882044693866120,on the skids,Figurative
15024915839311751329264798034809089321504186973973154737854339005972333310748,as red as a cherry,Figurative
86985435786841977930426314690731992515783329691419154503264761371254429565853,as smooth as silk,Not Figurative
58934849383149599186591567186645660326172141232570413118686280368607636387805,take root,Not Figurative
96949029382493625197628889732760590945858144763862102121927191387709287599854,he drives a tank,Figurative
13463732470558759865851162218299585744380806565465454373515592830887914822905,as white as a ghost,Figurative
19145226635391699766874698577036468477280973567227947346859398306454156421536,as proud as a peacock,Not Figurative
73584343779478239295142470021709208596735885189266273137450490368217260664264,as bright as the sun,Figurative
34765825156393524815094555117809927684843915435838699715490340022523903524094,out of pocket,Figurative
79231713196157274655650639964672541151633320137772116463096569907639047427837,she was a sly cat,Not Figurative
90630797465753333392143074657620972439013713729444734648708177799671759019524,as red as a tomato,Not Figurative
93035748217853555386316848383604783507061250134375659751840726855333390846997,as happy as a kid,Not Figurative
103512014840740440361184788607474248702678524708737810692910937854017996938441,as strong as an ox,Not Figurative
4307450424340673223969550456628998783369339434188640449060885781229439064338,as slippery as an ice rink,Not Figurative
54984062199088380555798081941755956556891941372242490581307259309159432138233,under the wire,Figurative
57051724490966390856149363076929484046710900633044324784324456672576142113375,up a tree,Figurative
105502223136107209512643659980692833011573168297653262543300811894073922372335,as strong as an ox,Not Figurative
53629372300505955959294340359887173585801261990195073967683451528574615168018,cut a rug,Figurative
5915067496878908200710644327434045939262651746477988153259871096508693876252,sail close to the wind,Not Figurative
61963130141072025687052825755609438365514007137199898231863963951799621375200,sea of knowledge,Not Figurative
7265961400288064292686562033424720821599918967642991831961138527454628441073,as sharp as a razor,Not Figurative
49293507230957357004854803228005085166043712714626207677835851713008133478223,on the cards,Not Figurative
85759963533849621723529941547316500980437651286678530364254628880161021481105,on and off,Not Figurative
87550694522138229431342916036464858024745236552243922828659444851768839272066,kiss ass,Figurative
81699220789048290288703020425414647763990141272076105907368394999180049876760,as fresh as a daisy,Figurative
93038576622695556365957607079519182458147447655214194080084540417459187008763,as sour as vinegar,Figurative
106197685513036279854131920953439382317864121432293281608154065955319373274916,keep tabs on,Figurative
2297762846721137125778796926195733126608200011943459954056604332828473937871,as pale as a ghost,Figurative
69745176040503522140797679277586002894946584226652846054655054417931072632764,as proud as a peacock,Figurative
62234025098652194961516450459943607765223611591387627729964718468296116931321,as sly as a fox,Figurative
64610880476439230825857616444487864216009632900335580897137757076035905156888,as hard as a brick,Figurative
12832924442691154807942306239353459894375642997113171645325319091522111755077,as filthy as a pigsty,Figurative
107939675272797069200240927058950882760971908562955677986269691617101410848965,as sour as vinegar,Not Figurative
54885897098251112771365920029852907255223725310535509819001997734872695189347,as fresh as a daisy,Figurative
113823112515618629993118819009665776393710287100612795498610889246738918765050,as sharp as a knife,Figurative
17281798261402225716604173026555576551001057116484625913899839495213578412851,catch someone's eye,Not Figurative
31262258302092643946403549963899452612987196101569034459821469654337224504405,as red as a tomato,Not Figurative
26308817156659617713374223821570893477827208569244054055100399161969391083017,as hard as rocks,Figurative
107336300517553298309353510059710489503863503187749855442894012648694394235906,with a will,Figurative
51741667343024028674648644620878700822290630358934038762421420942215850265495,as sharp as a knife,Figurative
58199576601553344568096830221409990497285596897898295683085690217121223502036,high and dry,Not Figurative
28146233908832551045871579498653066894407490931677834917645900077839252890885,as filthy as a pigsty,Figurative
80075285543758008794886183484970075734789515979302414008578369281118461843217,as proud as a peacock,Not Figurative
103297070697685267965312402256702413706617525235555014312025683489366492156375,easy does it,Figurative
29347029075046335846490592473438578547946033822496570784413000193839351661038,bear in mind,Figurative
66378510161623231206724155035739868841326231257881444776648049608231383696757,in the long run,Figurative
51616446654091858140412051680018974706011295560461719383136939765275922162766,as sharp as a razor,Not Figurative
84573727177369257280785518623703979864247757568213006341221557938898604555049,one in the eye for,Not Figurative
10994403893625532663783490591192920649267436023499443702286397386436061624174,as thin as a rail,Not Figurative
36540569246930888787249578585980187882408635611301408808909602188484077285248,as fresh as a daisy,Not Figurative
11100755540567213696851962506993003920843876854256063355600674965668073018636,horses for courses,Not Figurative
109178945356106012468567074852629291618473600157034192213643671742311966271379,no dice,Not Figurative
9309141785285378970472423089421873885852740354188743779548089448809927298030,as smooth as silk,Not Figurative
14940990321557982741613660716106042031744627277729988098756860612536339973616,count sheep,Not Figurative
20852747340299160339801329432659620942643850131356848804826282281592105875834,wet behind the ears,Not Figurative
26672400101327246918157866085722700104782760541316422031616335476501856522509,as wild as an animal,Not Figurative
22471999530246942312522501132561051158005807447449530871730705836395718858716,sea of knowledge,Figurative
48284856268232352007368011859486232241016598515271194088470689626090302862351,on the trot,Figurative
66932287117113526043543940396418443125000671885094762043774859794080120701249,as slow as a turtle,Not Figurative
20430562256100955999519812676739001469156346566690220553532855730623526921756,as sweet as honey,Not Figurative
4364752575394023053966977177476916618021278361094157703823054650403714823222,as fresh as a daisy,Figurative
93090906073452495825078348695418973570606759339289112744275519015231331706186,bite the big one,Figurative
35856159927678591424868029548538135494696971889081810113809515964394405479085,as filthy as a pigsty,Not Figurative
97989914386777064632075351514805499659784630063640182365258918038768349684187,she was a busy bee,Not Figurative
44855868190282918693234141857400561888519537561925415293426751357607707100124,all over the shop,Figurative
4221156567673989419356136710815908537168274873642394923404756239544360203064,as brave as a lion,Not Figurative
57113875115023642317826029079428358592329631688846016536737386245999348889833,he drives a tank,Not Figurative
38782891444485946697418340985181557027181097107312253301477935001904971234276,out of pocket,Not Figurative
48842162319426650424867349959273311841758855052163960919045373740418779544393,as fresh as a daisy,Not Figurative
48498586850812085802077264303606647051372060492858257453290368126470306649226,count sheep,Not Figurative
37384883602315647662189179983495823817526814618244795991265889768585186314458,as dry as a desert,Not Figurative
15160818106996688636026685990391833177321322797035030618640674598952302477719,as bright as the sun,Not Figurative
16641009741277380459800057653822332725167356122650299096906620382412615554148,split hairs,Not Figurative
7418192967752097366536799352205478343091411883979116594389029653130221505313,a mighty lion,Not Figurative
42249560667483274053964425049516756341885422916977623551633389165465438601158,hit the road,Not Figurative
23271173941126532461239101339730787197899214303920679782658841831403583712035,as helpless as a baby,Not Figurative
55818350636244367658487107382668863215375140464688454412345562719742927259589,on the warpath,Not Figurative
79527264351186172962712900956115912788906122899059346385243228834284275065602,beat swords into ploughshares,Not Figurative
9297516434298064501816030056123806035049061153874774432792784645884756992053,on board,Figurative
97311507489808197862367700495148166649319449311737079847033653281612297329490,as sharp as a knife,Not Figurative
33295000810244944449287089571599618252013149287913341282226448440322883652832,catch the sun,Not Figurative
73952118188021075553343838134205360170421806420018110923332584557698856957578,off the wall,Not Figurative
8217556124670363632507362756713767944612640604727435029309644248345300537741,as proud as a peacock,Figurative
111460381312504967872080818210579003344228802905229075964003766561782502112773,dressed to kill,Figurative
52438739825611931575598667089820100632854084000875652339772138180092757169144,as red as a cherry,Figurative
40210758243610191885015729089302436090137538747063983476789118517387941529576,as busy as a bee,Not Figurative
27595373747918175175412798777936275536765919931493828242179588141281408325984,as sly as a fox,Not Figurative
44771203963200745013756218499963656556953640987170279053136518966369646163339,as fast as a cheetah,Not Figurative
25997277304049313180208943909065621099368474606548052403088618058736014983273,as cold as ice,Figurative
108471504977105674590595720102453372171306447714266232354709755886929511916814,she is a snake,Not Figurative
10647628611719379500471111970685794282688753936588491956485318016219182840237,as busy as a bee,Not Figurative
31530406162746912055883550337639985566990571716390207950939514984089097185235,as sour as vinegar,Figurative
57896704321267211594170280826437943428358536341526726059710221272115069054390,he is a fox,Figurative
90294681241323642163314077480137097423756121650095938917644983037125448395764,cold comfort,Figurative
33670058537679592873695973023929737564931339776939857365314165600720119850410,their relationship is a house on fire,Not Figurative
82401215572508435786610789713029660419007920647762557394513590995931735196666,fall short,Not Figurative
24846146601584109819680422956919882918872375096051657634024244145928440429580,in someone's pocket,Not Figurative
98076840554892126751160240863614651539619585269623062169227053049251794515069,he was a tiger,Figurative
18846082500715692596516459782761798646471479706793039123773348696692502966989,kick the bucket,Figurative
44263473565968984245860404593124949038370681839946023429257876718673584401938,jungle city,Not Figurative
18734926956785924426471307157531915214905228680863551997196768586986648256372,as hard as a brick,Not Figurative
56218423060235015985729115297366165113331245629416936939996783247297573433536,as filthy as a pigsty,Figurative
114161108102270256095591582499020708159215080054396458790620687690240150371255,as filthy as a pigsty,Figurative
43747418508051416406255836741026222523827936172214275033778370608928206635543,ride high,Not Figurative
80389940970357134348707931061919965548068469750421557779385120098164383740616,night and day,Figurative
72054597032716185480486715003486402582946194335244632288914324224432825352024,turn the screw,Not Figurative
47923700167089024366014532683891176212682347353492846277428810604574774456112,show a leg,Figurative
37686139168286253080129737310013440326087707268648071074268131306512093509481,as strong as an ox,Figurative
57892642228034586025491795528516915181784868808870324853983610899088990998719,turn a blind eye,Not Figurative
40676280118315886231625550605968669697917197460853893101934749778764110247449,sweep someone off their feet,Not Figurative
20417804473368360158096416357300076556969233934721956301808316516971532633988,as sharp as a knife,Figurative
108392749172957770047857556550379677740411597909444826065322974927324023798551,as sweet as sugar,Figurative
28027833563799480040112465635771538783263745951391770499413083541098498855901,larger than life,Figurative
23394838184943794200378343249390043662693970863522920806370519910574784122103,king of beasts,Not Figurative
45551368328616475549195430993804841370149476257140368662879620178303925646438,night and day,Figurative
77308761983055999130322215091945724481957148868003601322980687232337028369477,as fresh as a daisy,Figurative
57151374849338596063030235260027415106357016703565842737996143508029432006938,away with the fairies,Figurative
4058608825583947788578008855265920709636944731871764414936648642076866228519,kick up your heels,Not Figurative
14466059710957635187069378252307652539455713145007065650682396960122081511354,hum and haw,Figurative
37673931982386376072172733843065562797968171194408907912871698892767156859978,money for jam,Figurative
52973493116590730482579602223280198423181598675172045111482180158560087659390,as red as a tomato,Not Figurative
32695121360128324691262132147891844156534331060033734138188727255069856357172,make the grade,Figurative
57208896648990502460440971861866835809841852556179678054591552518627683013523,put your shoulder to the wheel,Not Figurative
15196507783372179419965186473121744384892152841173594636488651481758211220143,as sour as vinegar,Figurative
47897695086851313603926850609135117352557121754855263373476454664525898940222,as pale as a ghost,Figurative
50473506321117233525094193327457782712913897946861715601149017153108326720954,fight tooth and nail,Not Figurative
111412979529581921068725813758947949293590882168532468401469938310878237133675,as sour as vinegar,Figurative
62833371531732335384315471131530776800988636672647375615129314754557983313338,as deep as the ocean,Not Figurative
66081008414335466618261471237189604060445878384512715965937799500051359452538,bark up the wrong tree,Not Figurative
114553272462942574078751661417601596993835380811187724828870845438347710786166,out of sight,Figurative
111199693797261527806130094482116201414544478342962300594428703951402698495953,go by the board,Not Figurative
27202524975813821817309610823896647305285002387766382027016564017098699918445,water under the bridge,Not Figurative
28956780491324674121564783558541241923572141820034770957150695253371749138710,come up smelling of roses,Not Figurative
21918241575110599787902975577288160691925846488258964301518467191482732332389,blow someone's mind,Figurative
33385205197754236836707248826190517225797393532137870328977078409609842406199,as blue as the ocean,Not Figurative
100956510357600820582762610498794088022852789648764917419538562325702831688569,as busy as a bee,Not Figurative
33042389161397752029781256821827128334720961293132337275500960472815768903926,catch someone's eye,Not Figurative
62662156985162489381337575196694051792013911991374304793891988498962959713666,go by the board,Figurative
35436444124472480570154380234741955439112641788959544903301853981776605878176,as solid as a rock,Figurative
101365023510362006512903950258105798200138310835321636187278292039548431677010,hard as nails,Figurative
20398039842814045808992140860219519835692722495801967121264821774120585761216,split hairs,Figurative
7799649619165945859212638617712743465997462735048848402836535225082878115650,she was a busy bee,Figurative
97491076868363130933415968667833532142975570125490550414541387331543922050152,as dry as a desert,Not Figurative
88287661111771482681814112310048690672756334187976652918155319828169558287528,their relationship is a house on fire,Not Figurative
105580906052105319674192918785704702638839601638685425422383045343185928820708,have someone by the short and curlies,Not Figurative
79258075218820756677908635827864920156831932523231037288195236129566510474829,bundle of joy,Figurative
24327593001125053567847394531295346199556406014152317580674887005703935974207,out of pocket,Not Figurative
24491122660233871821776580775810402971598781878879079810838578235864790286502,pound the pavement,Figurative
19473834901648799807610885294620115696382626633255231697976442840106648219763,chew the cud,Figurative
113205715520228977379247883837905255761532070450697491585717326771350166939381,take root,Not Figurative
6464346133359063692813163126994143590835596079115110562030059600649636264446,as big as a mountain,Not Figurative
75661986464648493106591864793993481094369259498208015005482256358484852057895,catch the sun,Not Figurative
79223138138262779486323757563092239740296179583251383126318754295756961958474,blanket of flowers,Not Figurative
22876913119531812252170369462803123058546676711672183615304590792070241449418,on a full stomach,Not Figurative
73045522468020259465506887827956931569447625178624476842885329028761738536205,armed to the teeth,Figurative
51569529953867380929973470570097577183002112808378419139392657071150038957954,as fresh as a daisy,Figurative
107021780743387204384580620777070410358022276240045608988579074748476944951423,let the cat out of the bag,Figurative
29826608867485583035088821166113840278683606622209461217454521363915558621802,see the light of day,Not Figurative
12219611787005447921882690344160266021265974030479320870651808501410951617250,take a hike,Not Figurative
85941728483608143986666059865848195487167800692769339465333694661991563435093,as sharp as a knife,Figurative
43345745192019068735414701967986993288882415545635665649390348291179181244113,sticky fingers,Not Figurative
63098321763722316433676192949601538223063300995573543265348705720283458896654,as brave as a lion,Figurative
24956950079347014982857181924175084345226154702412471128866146845199796815016,bundle of joy,Figurative
68734359223649523844286522412170353929511016467063386898960220479088360439592,as fresh as a daisy,Figurative
45065375796803402964947024779735133597176572809661683852513174513378041932502,she was a busy bee,Not Figurative
21062563720046293687919268280359285190354105444723023511084455466320443332417,hand in glove,Not Figurative
95170586528754996936341278832531736797154261681680350612695858617166759573373,out of the box,Not Figurative
33486059476462425384780987438422178648144116050680965624527720020240886937909,as sly as a fox,Figurative
28229174037721090570234630508334892858128821876302638083753127325595699803,over the moon,Figurative
78075324231547337328217587765250993853039837572505565797256275616134587510215,as cold as ice,Not Figurative
32580750004735185170877901282021116257529905772438716906684863873139006749841,as fast as a cheetah,Not Figurative
5991273304793635500139565423440413724183599244088396048999984178470239506706,as pale as a ghost,Not Figurative
111950370738231649045445472439834475657160822569070525372209449737148202866529,round the bend,Figurative
16912483760727945138353472057993871503949868840913056406375924755480907910616,off the hook,Not Figurative
67963463904361892132593003672912846934198189549648920736795185091583022434526,as sweet as honey,Figurative
80656830311415378296544068214355609649366445555876988316889082820596844735984,go to ground,Not Figurative
12341624611343741657579178544392918996354603755416433288547851350256521164852,an angel,Figurative
76641892250554871735822411074143852478242294231696220574403802509054392982640,pissed off,Figurative
23092944721344478530870404298109133946961568046641884003648623727909789045408,away with the fairies,Figurative
34006283580319246648472881913425759055058252290545934945907610319026468515692,as filthy as a pigsty,Not Figurative
72591249347890084057595827522268781245758396711765567313130919859742487862309,bite your tongue,Not Figurative
7685079552530094906991246568662876907557197107689765912652144871111114699659,water under the bridge,Not Figurative
105597009072791548611905232462274501760272341251963527884800563829739515551143,as slow as a snail,Figurative
26214976287327517253853613675023810437280949162789267999741116622578908843463,take a dive,Figurative
97440844631583427278186851646028198054403719658915979541198760542949560779293,go the extra mile,Figurative
79214633983392980874873284098662517473406147858514596128517054330863603152642,she is a ray of sunshine,Figurative
17141743850933473644562066168176619052675274137113433904681791842810569678984,as sharp as a razor,Figurative
45325745111511778544788440515962448394664832155837124102336039730452016379450,tired and emotional,Not Figurative
77107932299581820323372150644974276064082249423942292720334059164629713010106,fall in line,Not Figurative
114504865746869184815087746112626476817673232583615408121700686711616562494616,as solid as a rock,Not Figurative
4353392002468827649784386699187583128910760276363818039479533652884950799296,round the bend,Figurative
47023930868676306086710388036589412006319311083090376933837148399513851943015,walking encyclopedia,Not Figurative
30140306721066869119323815241462899698285429545620212188251042308254445919210,out and about,Figurative
18191524046953508553439551968808208340485978843390332126179104040907669203013,as fast as a cheetah,Not Figurative
93632386169737870796735080446127774828669646784296407662619990486386697620117,their relationship is a house on fire,Not Figurative
102991528338862881197082912464533920022651474650485767586476980562299495338765,as slow as a turtle,Figurative
100226218521365318718707650691041303500511523288514634425584423748314883477384,homework is a breeze,Not Figurative
75376080917932110041672533500546437321021517028553341485520336588726628199710,as filthy as a pigsty,Not Figurative
110437666065958846727448676479807228511547565640869575193522586208996392586194,put the moves on,Figurative
24213954480013703247972637074448224445565021592761010352032724568759360696503,as sharp as a knife,Not Figurative
114191210389713234316249741971742469531243819212498719642838090311299692513247,as slippery as an ice rink,Not Figurative
17218652248095587491282503807813085869051194689966808247777035443546495942501,as angry as a hornet,Not Figurative
26967752318360774026789407059344665985897269879067046924253249885681086405784,light at the end of the tunnel,Not Figurative
55990530373222935728407967888348764841704170487015252066611599666454883917050,hang by a thread,Figurative
34849903562113978764783820619881654929641976122021252768114917683519823383508,have the last laugh,Figurative
13879275904253081450828459336609587411356955502734633459101658764189925130572,show a leg,Not Figurative
88966564778400843325328999470488684145011580288079203374225518984291104664938,up a tree,Not Figurative
63098321763722316433676192949601538223063300995573543265348705720283458896654,he was a chicken,Not Figurative
90908047480576051297974615094656913330836421402002224677092236679019802264180,jump down someone's throat,Figurative
88966193096635822922737931658013614442066366247834709806888787131970260452545,drag your feet,Figurative
62217604270477459919421317353703600859370565218640032200208970469272086846228,go downhill,Not Figurative
18204124142025486228412307993807993870305814134377225633020254349528661349960,as dry as a desert,Figurative
84697697864876982331842522420741281982519728269453721725943915717923739073821,as pretty as a princess,Not Figurative
2816280336764130563185189022089058251819762328765590959473182415382605226959,hold the purse strings,Figurative
71985099217545954453834615750174234249295546697475255421277307752836664349406,on the warpath,Figurative
9834455000195734760408643756836010071140873607513124119017150928688040623084,make the grade,Not Figurative
101720545643182364907296495389255294657040503540315399193714072204243378442682,house of cards,Not Figurative
4433967666001047038128761467679420764335391459897999447129080083590642370952,come a cropper,Figurative
39858821298941028195122894315314922555199025531225657528950582721816885381076,on a full stomach,Not Figurative
19852882682642364260929910788769282087956009985421488744674249106316575248858,as hot as lava,Figurative
39406499034577912957425424289245857704789359824408827253506777352855256294004,off the wall,Not Figurative
57903033224717975885673113596009128893654816420347025543858709220167726895875,as cold as ice,Not Figurative
34106634467834129894284619297720879342759263300658629333763498288948967426529,in the same breath,Figurative
110483886753983939340499507671605959112514921174191807354179071828808734357686,as fresh as a daisy,Not Figurative
22069981937074690592043155339869674626432458205752568405784258421076352524629,as filthy as a pigsty,Not Figurative
22922878355754915648642134028272091592776206732654821337630668261199563328979,on the button,Not Figurative
81169887165985911779284721991994036630935750168284364532095510734400355499947,as fast as a cheetah,Figurative
3455147672602049503574734363983732847847781885223734885397545067170816924871,as fresh as a daisy,Figurative
93090400454225373664692506476600963636972756260772535426876311662884100478888,as red as a tomato,Not Figurative
21550289951542899962269058126201494821435253943988452067375220202824677841583,as blue as the ocean,Figurative
82983670397975915137116093133057900882544558479686349675477132925754553381281,as filthy as a pigsty,Not Figurative
65863902142950279696044992415135117734498997459918527881623329152540324823354,on thin ice,Not Figurative
63150281220465119362461416872472835389108064628186820278713975832888177538033,as wide as the sea,Not Figurative
68899088157868362321196848502235872811101162946313270603319520214737260303711,keep the wolf from the door,Not Figurative
95712209423071789102113824959180002326170863149859782553557780094062881359130,as red as a tomato,Figurative
46497377868232628653975589030299377792268885125323451645165592195574212512366,pull the wool over someone's eyes,Not Figurative
96568982537946380890656018028861489197201639519140645812849904110578652601564,within living memory,Figurative
16303333200954450959109497947057468333618985628109518039433154505177865305428,set eyes on,Not Figurative
1308351771910941657276685634108956355781566404255744813049869983823514262501,put paid to,Figurative
108335395639809497323315446171333045187820777204392943077245860705069170625838,as smooth as silk,Figurative
61111380409456714697774778864217925806107847184923102515209314140702759758037,hold your tongue,Figurative
82471998524201569147031959822894771325272514286211291404985633409200798511026,peaches and cream,Figurative
22601086275710673824018595225077829553115663190898495103051184664785818483577,as slow as a turtle,Not Figurative
65288173334358512147746663987061429496407177499206817703916601311285647855673,home was prison,Not Figurative
91807249186087665854956962758726837603092999587407338295783911857765897073576,as fast as a cheetah,Not Figurative
33717331926403625288818056022992179174318327692237065556754196106662514001389,on and off,Not Figurative
19635383636080213727216522546489911820326640212320300153808499837224951197650,on the money,Figurative
51210865012083329576296774390378376326127205079327037441241318127255357327840,as tall as a skyscraper,Not Figurative
57897863628498291434351564987263830692882344351900102194944674508591595254599,tired and emotional,Not Figurative
14686180823458747071774842050374866142154171691660121640176138867454998005763,come to terms with,Figurative
83480683208181041380230222186047839769885528126246079834785255256815419712934,count sheep,Figurative
46582895568644731093560026204214509993440554949247084738662401516732321558127,as sweet as sugar,Not Figurative
